Title,Price,Link,Text
Miracle Touch - Cryptid Nation: Kickstarter Edition - MetaZoo,US$3.35 · ‎In stock,https://www.tcgplayer.com/product/241345/metazoo-cryptid-nation-kickstarter-edition-miracle-touch,9 listings on TCGplayer for Miracle Touch - MetaZoo - Target Beastie recovers LP up to its maximum.
Meteor Shower - Nightfall: First Edition - MetaZoo - TCGplayer,US$0.15 · ‎In stock,https://www.tcgplayer.com/product/252302/metazoo-nightfall-first-edition-meteor-shower,30 listings on TCGplayer for Meteor Shower - MetaZoo.
Balancing Beam - Cryptid Nation: Kickstarter Edition - MetaZoo,US$2.95 · ‎In stock,https://www.tcgplayer.com/product/241294/metazoo-cryptid-nation-kickstarter-edition-balancing-beam,8 listings on TCGplayer for Balancing Beam - MetaZoo - Deal Damage to target Caster or Page equal to 10 times the number of years between your age in years ...
Reflection - Cryptid Nation: Kickstarter Edition - MetaZoo,US$3.89 · ‎In stock,https://www.tcgplayer.com/product/241408/metazoo-cryptid-nation-kickstarter-edition-reflection,7 listings on TCGplayer for Reflection - MetaZoo - This Spell may be Contracted whenever an opposing caster Contracts a Spell and there is a mirror nearby ...
Nighttime - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.31,https://www.tcgplayer.com/product/244931/metazoo-cryptid-nation-first-edition-nighttime,Product Details · Rarity:None · Number:143 · Page Type:Terra · Spellbook Limit:40 · Aura Type:Colorless ...
Black-Eyed Children - Nightfall: First Edition - MetaZoo,US$1.70 · ‎In stock,https://www.tcgplayer.com/product/252235/metazoo-nightfall-first-edition-black-eyed-children,95 listings on TCGplayer for Black-Eyed Children - MetaZoo.
Snallygaster - Cryptid Nation: Kickstarter Edition - MetaZoo,US$20.00 · ‎In stock,https://www.tcgplayer.com/product/241261/metazoo-cryptid-nation-kickstarter-edition-snallygaster,Product Details. Rarity:Gold; Number:7; Page Type:Beastie; Tribe:Dragon; Spellbook Limit:1; Aura Type:Colorless; Total Aura Cost:7; LP:90; Traits:Flight; ...
Permafrost - Nightfall: First Edition - MetaZoo - TCGplayer,US$0.25 · ‎In stock,https://www.tcgplayer.com/product/252304/metazoo-nightfall-first-edition-permafrost,106 listings on TCGplayer for Permafrost - MetaZoo - You may Fatigue this Page at any time to generate 1 Frost Aura and 1 Water Aura.
Raining - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.27 · ‎In stock,https://www.tcgplayer.com/product/244959/metazoo-cryptid-nation-first-edition-raining,Product Details · Rarity:None · Number:157 · Page Type:Terra · Spellbook Limit:40 · Aura Type:Colorless ...
Tribal Warcry - Nightfall: First Edition Tribal Theme Decks,US$0.50 · ‎In stock,https://www.tcgplayer.com/product/252447/metazoo-nightfall-first-edition-tribal-theme-decks-tribal-warcry,5 listings on TCGplayer for Tribal Warcry - MetaZoo - Equip his Page to target non-Token Beastie that does not have Tribal Boost. Equipped Beastie gains +10 ...
Snallygaster - Cryptid Nation: First Edition - MetaZoo,US$1.75 · ‎In stock,https://www.tcgplayer.com/product/244800/metazoo-cryptid-nation-first-edition-snallygaster,Product Details. Rarity:Gold; Number:7; Page Type:Beastie; Tribe:Dragon; Spellbook Limit:1; Aura Type:Colorless; Total Aura Cost:7; LP:90; Traits:Flight; ...
Stars - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.25 · ‎In stock,https://www.tcgplayer.com/product/244909/metazoo-cryptid-nation-first-edition-stars,Product Details · Rarity:None · Number:142 · Page Type:Terra · Spellbook Limit:40 · Aura Type:Colorless ...
The Red Ghost - Nightfall: First Edition - MetaZoo - TCGplayer,US$0.29 · ‎In stock,https://www.tcgplayer.com/product/252203/metazoo-nightfall-first-edition-the-red-ghost,Product Details. Rarity:Gold; Number:17/163; Page Type:Beastie; Tribe:Spirit; Spellbook Limit:1; Aura Type:Spirit;Colorless; Total Aura Cost:5; LP:80 ...
Haste - Cryptid Nation: Kickstarter Edition - MetaZoo,US$4.00 · ‎In stock,https://www.tcgplayer.com/product/241361/metazoo-cryptid-nation-kickstarter-edition-haste,10 listings on TCGplayer for Haste - MetaZoo - This Spell may be Contracted at any time outside of Combat even if it is not your turn.
Chessie - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$17.49 · ‎In stock,https://www.tcgplayer.com/product/244812/metazoo-cryptid-nation-first-edition-chessie?country=US,Product Details. Rarity:Gold; Number:10; Page Type:Beastie; Tribe:Dinosaur; Spellbook Limit:4; Aura Type:Water;Colorless; Total Aura Cost:4; LP:80 ...
Reflection - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.30 · ‎In stock,https://www.tcgplayer.com/product/244958/metazoo-cryptid-nation-first-edition-reflection,22 listings on TCGplayer for Reflection - MetaZoo - This Spell may be Contracted whenever an opposing caster Contracts a Spell and there is a mirror nearby ...
Chibi Quetza - Cryptid Nation: Kickstarter Edition - MetaZoo,US$3.35 · ‎In stock,https://www.tcgplayer.com/product/241297/metazoo-cryptid-nation-kickstarter-edition-chibi-quetza,Product Details. Rarity:Silver; Number:111; Page Type:Beastie; Tribe:Chibi; Spellbook Limit:3; Aura Type:Lightning; Total Aura Cost:1; LP:10; Traits:Flight; ...
Sam's Rabbit Foot - Cryptid Nation: First Edition - MetaZoo,US$0.80 · ‎In stock,https://www.tcgplayer.com/product/244943/metazoo-cryptid-nation-first-edition-sams-rabbit-foot,10 listings on TCGplayer for Sam's Rabbit Foot - MetaZoo - You may Fatigue Sam's Rabbit Foot to look at the top 3 Pages of your Spellbook rerarrange them ...
Sam's EMF Device - Cryptid Nation: Kickstarter Edition,US$2.99 · ‎In stock,https://www.tcgplayer.com/product/241402/metazoo-cryptid-nation-kickstarter-edition-sams-emf-device,8 listings on TCGplayer for Sam's EMF Device - MetaZoo - You may Fatigue Sam's EMF Device to look through target Caster's Spellbook.
Book Of Shadows - Cryptid Nation: Kickstarter Edition - MetaZoo,US$3.85 · ‎In stock,https://www.tcgplayer.com/product/241296/metazoo-cryptid-nation-kickstarter-edition-book-of-shadows,8 listings on TCGplayer for Book Of Shadows - MetaZoo - As long as Book of Shadows is in the Arena all of your DARK Spells cost 1 less DARK to Contract ...
