Title,Price,Link,Text
Gumberoo - Cryptid Nation: Kickstarter Edition - MetaZoo,US$5.95 · ‎In stock,https://www.tcgplayer.com/product/241358/metazoo-cryptid-nation-kickstarter-edition-gumberoo,Product Details. Rarity:Bronze; Number:56; Page Type:Beastie; Spellbook Limit:4; Aura Type:Forest; Total Aura Cost:1; LP:30; Traits:Spirit; Ability:Reduce ...
Growth - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$34.00 · ‎In stock,https://www.tcgplayer.com/product/244861/metazoo-cryptid-nation-first-edition-growth,Rarity:Gold; Number:24; Page Type:Spell; Spellbook Limit:1; Aura Type:Forest; Total Aura Cost:2; Traits:Spirit; Flavor Text:There's never been a better time ...
Holy Gem - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$4.20 · ‎In stock,https://www.tcgplayer.com/product/244869/metazoo-cryptid-nation-first-edition-holy-gem,Rarity:Gold; Number:36; Page Type:Artifact; Spellbook Limit:2; Aura Type:Light; Total Aura Cost:0; LP:50; Flavor Text:A shard of the Veil blessed and ...
Silver Bullet - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$10.99 · ‎In stock,https://www.tcgplayer.com/product/244938/metazoo-cryptid-nation-first-edition-silver-bullet,Flavor Text:Made after the Veil was put in place these Silver Bullets are said to be made by a truly powerful Caster with a major wolf problem. Read more ...
Bookmark - Cryptid Nation: Second Edition - MetaZoo,US$0.09 · ‎In stock,https://www.tcgplayer.com/product/257825/metazoo-cryptid-nation-second-edition-bookmark,Rarity:Bronze; Number:71; Page Type:Spell; Spellbook Limit:2; Aura Type:Colorless; Total Aura Cost:1; Traits:Flight; Flavor Text:Before the advent of ...
The Spookster - Cryptid Nation: Kickstarter Edition - MetaZoo,US$2.00 · ‎In stock,https://www.tcgplayer.com/product/241336/metazoo-cryptid-nation-kickstarter-edition-the-spookster,4 listings on TCGplayer for The Spookster - MetaZoo.
Cryptid Nation: Second Edition Booster Box - MetaZoo,US$61.85 · ‎In stock,https://www.tcgplayer.com/product/257406/metazoo-cryptid-nation-second-edition-cryptid-nation-second-edition-booster-box,28 listings on TCGplayer for Cryptid Nation: Second Edition Booster Box - MetaZoo - Each Booster Box contains 36 packs.
Bigfoot - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$2.75 · ‎In stock,https://www.tcgplayer.com/product/244801/metazoo-cryptid-nation-first-edition-bigfoot,Product Details. Rarity:Gold; Number:4; Page Type:Beastie; Tribe:Sasquatch; Spellbook Limit:1; Aura Type:Forest; Total Aura Cost:4; LP:80; Traits:Convert ...
Cryptid Nation: First Edition Spell Book - MetaZoo - TCGplayer,US$129.01 · ‎In stock,https://www.tcgplayer.com/product/242793/metazoo-cryptid-nation-first-edition-cryptid-nation-first-edition-spell-book,11 listings on TCGplayer for Cryptid Nation: First Edition Spell Book - MetaZoo - Each First Edition Spell Book contains the following: • 10 booster pack ...
Dark Watchers - Nightfall: First Edition - MetaZoo - TCGplayer,US$2.00 · ‎In stock,https://www.tcgplayer.com/product/252328/metazoo-nightfall-first-edition-dark-watchers,Product Details. Rarity:Gold; Number:8/163; Page Type:Beastie; Tribe:Alien; Spellbook Limit:3; Aura Type:Cosmic; Total Aura Cost:2; LP:40; Traits:Spirit ...
UFO: First Edition Blister Pack [UFO] - MetaZoo - TCGplayer,US$5.00 · ‎In stock,https://www.tcgplayer.com/product/280095/metazoo-ufo-first-edition-ufo-first-edition-blister-pack-ufo,4 listings on TCGplayer for UFO: First Edition Blister Pack [UFO] - MetaZoo - Each blistered booster pack for MetaZoo: Cryptid Nation — UFO contains 1 ...
