Index,Title,Price,Link
0,Assassin's Creed® III Remastered,£29.99,https://store.playstation.com/en-gb/product/EP0001-CUSA11560_00-AC3GAMEPS4000001
1,Assassin's Creed® Unity,£24.99,https://store.playstation.com/en-gb/product/EP0001-CUSA00605_00-AC5GAMEPS4000001
2,Assassin’s Creed® The Ezio Collection,£44.99,https://store.playstation.com/en-gb/product/EP0001-CUSA04893_00-ACLEGACYHD000000
3,Assassin's Creed 4 Black Flag,£24.99,https://store.playstation.com/en-gb/product/EP0001-CUSA00009_00-AC4GAMEPS4000001
4,Assassin's Creed® Odyssey,£54.99,https://store.playstation.com/en-gb/product/EP0001-CUSA09303_00-GAME000000000000
5,Assassin's Creed® Origins,£49.99,https://store.playstation.com/en-gb/product/EP0001-CUSA05625_00-GAMEACEMPIRE0000
6,Assassin's Creed® Rogue Remastered,£24.99,https://store.playstation.com/en-gb/product/EP0001-CUSA10123_00-ACRGAMEPS4000001
7,Assassin's Creed® Syndicate,£24.99,https://store.playstation.com/en-gb/product/EP0001-CUSA02376_00-ACVPOSTSTANDEURP
10,Assassin's Creed® Freedom Cry,£11.99,https://store.playstation.com/en-gb/product/EP0001-CUSA00435_00-ACBFDLCSPSA00001
16,Assassin's Creed® Odyssey - GOLD EDITION,£15.99,https://store.playstation.com/en-gb/product/EP0001-CUSA09303_00-EDITIONGOLD00000
20,Assassin's Creed® Origins - GOLD EDITION,£14.99,https://store.playstation.com/en-gb/product/EP0001-CUSA05625_00-EDITIONGLDACE000
