Index,Title,Price,Link
2,Far Cry®3 Classic Edition,£24.99,https://store.playstation.com/en-gb/product/EP0001-CUSA10326_00-FARCRY3REMASTER0
3,Far Cry 4,£24.99,https://store.playstation.com/en-gb/product/EP0001-CUSA00462_00-FC4GAMEPS4000001
4,FAR CRY 3: BLOOD DRAGON CLASSIC EDITION,£11.99,https://store.playstation.com/en-gb/product/EP0001-CUSA29008_00-FC3BDMASTERPS400
6,Resident Evil 6,£15.99,https://store.playstation.com/en-gb/product/EP0102-CUSA03840_00-BH6HDPS400000000
7,Far Cry Primal,£8.24,https://store.playstation.com/en-gb/product/EP0001-CUSA03309_00-PRIMALGAME000001
8,FAR CRY 4 + FAR CRY PRIMAL BUNDLE,£17.99,https://store.playstation.com/en-gb/product/EP0001-CUSA00462_00-FC4FCPRIMALBUNDL
9,Far Cry® 5 + Far Cry® New Dawn Ultimate Edition,£23.99,https://store.playstation.com/en-gb/product/EP0001-CUSA13885_00-ULTIMATEEDITION0
10,Far Cry® 5 + Far Cry® New Dawn Complete Edition,£84.99,https://store.playstation.com/en-gb/product/EP0001-CUSA13885_00-COMPLETEDAY10000
13,Assassin's Creed® Freedom Cry,£11.99,https://store.playstation.com/en-gb/product/EP0001-CUSA00435_00-ACBFDLCSPSA00001
14,Far Cry® New Dawn Deluxe Edition,£11.99,https://store.playstation.com/en-gb/product/EP0001-CUSA13885_00-DELUXEDAY1000000
21,Fallout 4,£15.99,https://store.playstation.com/en-gb/product/EP1003-CUSA02961_00-FALLOUT4FULLGAME
22,Far Cry®5,£49.99,https://store.playstation.com/en-gb/product/EP0001-CUSA05847_00-FARCRY5GAME00000
