Index,Title,Price,Link
0,Far Cry 4,£24.99,https://store.playstation.com/en-gb/product/EP0001-CUSA00462_00-FC4GAMEPS4000001
1,Far Cry®3 Classic Edition,£24.99,https://store.playstation.com/en-gb/product/EP0001-CUSA10326_00-FARCRY3REMASTER0
2,Far Cry®5,£49.99,https://store.playstation.com/en-gb/product/EP0001-CUSA05847_00-FARCRY5GAME00000
3,Far Cry Primal,£8.24,https://store.playstation.com/en-gb/product/EP0001-CUSA03309_00-PRIMALGAME000001
4,FAR CRY 3: BLOOD DRAGON CLASSIC EDITION,£11.99,https://store.playstation.com/en-gb/product/EP0001-CUSA29008_00-FC3BDMASTERPS400
5,Far Cry® New Dawn,£9.99,https://store.playstation.com/en-gb/product/EP0001-CUSA13885_00-FARCRYBOWMORE000
10,Far Cry® 5 + Far Cry® New Dawn Ultimate Edition,£23.99,https://store.playstation.com/en-gb/product/EP0001-CUSA13885_00-ULTIMATEEDITION0
16,FAR CRY PRIMAL - APEX EDITION,£9.89,https://store.playstation.com/en-gb/product/EP0001-CUSA03309_00-APEXDAY1EMEAGOLD
19,Far Cry® 5 + Far Cry® New Dawn Complete Edition,£84.99,https://store.playstation.com/en-gb/product/EP0001-CUSA13885_00-COMPLETEDAY10000
21,Far Cry® New Dawn Deluxe Edition,£11.99,https://store.playstation.com/en-gb/product/EP0001-CUSA13885_00-DELUXEDAY1000000
22,Crysis Remastered,£24.99,https://store.playstation.com/en-gb/product/EP4291-CUSA18671_00-CRYSISREMASTERED
