Index,Title,Price,Link
0,Resident Evil Director’s Cut,Included,https://store.playstation.com/en-gb/product/EP0102-CUSA33880_00-CLASSICREDC00001
1,Resident Evil,£15.99,https://store.playstation.com/en-gb/product/EP0102-CUSA01067_00-BHRHDPS400000001
2,RESIDENT EVIL 5,£15.99,https://store.playstation.com/en-gb/product/EP0102-CUSA04284_00-RE5HDPS400000000
3,Resident Evil 6,£15.99,https://store.playstation.com/en-gb/product/EP0102-CUSA03840_00-BH6HDPS400000000
4,resident evil 4,£15.99,https://store.playstation.com/en-gb/product/EP0102-CUSA04704_00-BH4HD00000000001
5,Resident Evil Revelations 2 (Episode One: Penal Colony),Free,https://store.playstation.com/en-gb/product/EP0102-CUSA00804_00-BHR2HGTRIALPS401
6,Resident Evil 0,£15.99,https://store.playstation.com/en-gb/product/EP0102-CUSA01815_00-BH0HD00000000001
8,RESIDENT EVIL REVELATIONS,£15.99,https://store.playstation.com/en-gb/product/EP0102-CUSA06212_00-RERHDPS400000000
9,Resident Evil Triple Pack,£39.99,https://store.playstation.com/en-gb/product/EP0102-CUSA03840_00-RE456BUND00000EU
10,Resident Evil Revelations 2 Deluxe Edition ,£24.99,https://store.playstation.com/en-gb/product/EP0102-CUSA00804_00-BHR2DELUXE000000
11,Resident Evil Code: Veronica X,£11.99,https://store.playstation.com/en-gb/product/EP0102-CUSA07343_00-SLES503060000001
14,Resident Evil: Deluxe Origins Bundle,£29.99,https://store.playstation.com/en-gb/product/EP0102-CUSA01815_00-BHDOB00000000001
